reviewer,set_id,set_kind,variant,selected_ids,selected_characters,target_id,positive_target,rank,raw_match,adjusted_match,candidate_pool_percentile,top_pool_percent,top5_spread,core_xp_match,best_multi_character_branch_match,hidden_singleton_branch_match,branch_base_rank,multi_branch_rank,branch_final_rank,branch_rerank_bonus
aoko,aoko_set_04,mixed,Experiment C,C005;C001;C014;C026,杨;柳爱时;Impey Barbicane;YOFY,C025,平重衡,22,56.17332429785469,56.730254249078136,16.0,84.61538461538461,1.6846885288616988,52.67,61.5,,25,16,25,0.0
aoko,aoko_set_05,mixed,Baseline,C019;C015;C022;C021,缘;Tyril I Lister;光森壱哉;Vilio,C001,柳爱时,26,47.91163843402973,49.84628970296913,0.0,100.0,3.256675840756465,51.63,58.78,,25,22,25,0.0
aoko,aoko_set_05,mixed,Experiment A,C019;C015;C022;C021,缘;Tyril I Lister;光森壱哉;Vilio,C001,柳爱时,26,49.29872176736308,50.74327303630246,0.0,100.0,2.2824264526445788,51.63,58.78,,25,22,25,0.0
aoko,aoko_set_05,mixed,Experiment B,C019;C015;C022;C021,缘;Tyril I Lister;光森壱哉;Vilio,C001,柳爱时,26,48.66307329160653,50.57927551279846,0.0,100.0,3.4150911185157895,51.63,58.78,,25,22,25,0.0
aoko,aoko_set_05,mixed,Experiment C,C019;C015;C022;C021,缘;Tyril I Lister;光森壱哉;Vilio,C001,柳爱时,26,50.0881780064758,51.51470758880322,0.0,100.0,2.7206219944415366,51.63,58.78,,25,22,25,0.0
aoko,aoko_set_05,mixed,Baseline,C001;C015;C022;C021,柳爱时;Tyril I Lister;光森壱哉;Vilio,C019,缘,15,55.19010562558356,57.03437965336134,44.0,57.69230769230769,3.5971758345819254,58.82,65.51,,13,9,13,0.0
aoko,aoko_set_05,mixed,Experiment A,C001;C015;C022;C021,柳爱时;Tyril I Lister;光森壱哉;Vilio,C019,缘,12,57.14782621381887,58.48835024159664,56.0,46.15384615384615,2.7838438818637457,58.82,65.51,,13,9,13,0.0
aoko,aoko_set_05,mixed,Experiment B,C001;C015;C022;C021,柳爱时;Tyril I Lister;光森壱哉;Vilio,C019,缘,17,55.95670504518518,57.77569389817765,36.0,65.38461538461539,4.440883890124631,58.82,65.51,,13,9,13,0.0
aoko,aoko_set_05,mixed,Experiment C,C001;C015;C022;C021,柳爱时;Tyril I Lister;光森壱哉;Vilio,C019,缘,16,57.94961987621817,59.26724123083509,40.0,61.53846153846154,3.955458339687617,58.82,65.51,,13,9,13,0.0
aoko,aoko_set_05,mixed,Baseline,C001;C019;C022;C021,柳爱时;缘;光森壱哉;Vilio,C015,Tyril I Lister,14,61.79047161172161,58.36390348672161,48.0,53.84615384615385,2.8891393849206395,58.36,55.35,,16,21,16,0.0
aoko,aoko_set_05,mixed,Experiment A,C001;C019;C022;C021,柳爱时;缘;光森壱哉;Vilio,C015,Tyril I Lister,17,60.684459706959714,58.67976658195971,36.0,65.38461538461539,2.788189208099915,58.36,55.35,,16,21,16,0.0
aoko,aoko_set_05,mixed,Experiment B,C001;C019;C022;C021,柳爱时;缘;光森壱哉;Vilio,C015,Tyril I Lister,14,62.20821161367394,58.762207087573984,48.0,53.84615384615385,3.3752597445666055,58.36,55.35,,16,21,16,0.0
aoko,aoko_set_05,mixed,Experiment C,C001;C019;C022;C021,柳爱时;缘;光森壱哉;Vilio,C015,Tyril I Lister,15,61.08344441494108,59.050862416278996,44.0,57.69230769230769,2.8964772479523475,58.36,55.35,,16,21,16,0.0
aoko,aoko_set_05,mixed,Baseline,C001;C019;C015;C021,柳爱时;缘;Tyril I Lister;Vilio,C022,光森壱哉,23,48.35499503968254,50.40430667162698,12.0,88.46153846153847,2.795638664096323,52.45,56.6,,22,21,22,0.0
aoko,aoko_set_05,mixed,Experiment A,C001;C019;C015;C021,柳爱时;缘;Tyril I Lister;Vilio,C022,光森壱哉,22,49.532182539682545,50.998139484126995,16.0,84.61538461538461,2.355213913690477,52.45,56.6,,22,21,22,0.0
aoko,aoko_set_05,mixed,Experiment B,C001;C019;C015;C021,柳爱时;缘;Tyril I Lister;Vilio,C022,光森壱哉,23,48.556597784349485,50.60731428817699,12.0,88.46153846153847,3.3464318403343327,52.45,56.6,,22,21,22,0.0
aoko,aoko_set_05,mixed,Experiment C,C001;C019;C015;C021,柳爱时;缘;Tyril I Lister;Vilio,C022,光森壱哉,23,49.81287209645207,51.28428437609838,12.0,88.46153846153847,2.928365106580074,52.45,56.6,,22,21,22,0.0
aoko,aoko_set_05,mixed,Baseline,C001;C019;C015;C022,柳爱时;缘;Tyril I Lister;光森壱哉,C021,Vilio,17,58.60453373015873,56.80150966765872,36.0,65.38461538461539,1.841732281746033,56.8,59.03,,17,17,17,0.0
aoko,aoko_set_05,mixed,Experiment A,C001;C019;C015;C022,柳爱时;缘;Tyril I Lister;光森壱哉,C021,Vilio,17,58.24814484126984,57.257620778769834,36.0,65.38461538461539,3.1329379017857093,56.8,59.03,,17,17,17,0.0
aoko,aoko_set_05,mixed,Experiment B,C001;C019;C015;C022,柳爱时;缘;Tyril I Lister;光森壱哉,C021,Vilio,14,60.070981865573245,58.279107765340434,48.0,53.84615384615385,1.2582499011244366,56.8,59.03,,17,17,17,0.0
aoko,aoko_set_05,mixed,Experiment C,C001;C019;C015;C022,柳爱时;缘;Tyril I Lister;光森壱哉,C021,Vilio,15,59.860510639143996,58.8725265732848,44.0,57.69230769230769,2.199517532329594,56.8,59.03,,17,17,17,0.0
aoko,aoko_set_06,mixed,Baseline,C014;C024;C025;C021,Impey Barbicane;Allan Melville;平重衡;Vilio,C005,杨,25,47.43159408939014,48.35629602391395,4.0,96.15384615384616,5.607627108134928,49.42,57.45,,25,20,25,0.0
aoko,aoko_set_06,mixed,Experiment A,C014;C024;C025;C021,Impey Barbicane;Allan Melville;平重衡;Vilio,C005,杨,25,48.14893535923141,48.907584218358394,4.0,96.15384615384616,5.880603298611113,49.42,57.45,,25,20,25,0.0
aoko,aoko_set_06,mixed,Experiment B,C014;C024;C025;C021,Impey Barbicane;Allan Melville;平重衡;Vilio,C005,杨,25,49.1717059110233,49.975433175267,4.0,96.15384615384616,6.019448807015017,49.42,57.45,,25,20,25,0.0
aoko,aoko_set_06,mixed,Experiment C,C014;C024;C025;C021,Impey Barbicane;Allan Melville;平重衡;Vilio,C005,杨,24,49.84725810202262,50.50474137311839,8.0,92.3076923076923,6.096680017183225,49.42,57.45,,25,20,25,0.0
aoko,aoko_set_06,mixed,Baseline,C005;C024;C025;C021,杨;Allan Melville;平重衡;Vilio,C014,Impey Barbicane,25,46.554373346560844,48.231634775958995,4.0,96.15384615384616,7.616945970695973,48.31,56.05,,25,25,25,0.0
aoko,aoko_set_06,mixed,Experiment A,C005;C024;C025;C021,杨;Allan Melville;平重衡;Vilio,C014,Impey Barbicane,25,47.50697751322752,48.91118816137566,4.0,96.15384615384616,7.333607505229651,48.31,56.05,,25,25,25,0.0
aoko,aoko_set_06,mixed,Experiment B,C005;C024;C025;C021,杨;Allan Melville;平重衡;Vilio,C014,Impey Barbicane,24,47.84832424574155,49.45724988329373,8.0,92.3076923076923,6.518838595731118,48.31,56.05,,25,25,25,0.0
aoko,aoko_set_06,mixed,Experiment C,C005;C024;C025;C021,杨;Allan Melville;平重衡;Vilio,C014,Impey Barbicane,24,48.85943928564587,50.19990433604066,8.0,92.3076923076923,5.933063779495846,48.31,56.05,,25,25,25,0.0
aoko,aoko_set_06,mixed,Baseline,C005;C014;C025;C021,杨;Impey Barbicane;平重衡;Vilio,C024,Allan Melville,18,52.91039682539682,53.83378890873015,32.0,69.23076923076923,5.5831457184767785,54.76,55.44,,13,15,13,0.0
aoko,aoko_set_06,mixed,Experiment A,C005;C014;C025;C021,杨;Impey Barbicane;平重衡;Vilio,C024,Allan Melville,15,54.50810515873016,55.21571755456349,44.0,57.69230769230769,4.554179216853406,54.76,55.44,,13,15,13,0.0
aoko,aoko_set_06,mixed,Experiment B,C005;C014;C025;C021,杨;Impey Barbicane;平重衡;Vilio,C024,Allan Melville,12,54.37354421018921,55.23045387544988,56.0,46.15384615384615,5.41192137513093,54.76,55.44,,13,15,13,0.0
aoko,aoko_set_06,mixed,Experiment C,C005;C014;C025;C021,杨;Impey Barbicane;平重衡;Vilio,C024,Allan Melville,11,56.01375477953332,56.66476708014467,60.0,42.30769230769231,4.5466620542988565,54.76,55.44,,13,15,13,0.0
aoko,aoko_set_06,mixed,Baseline,C005;C014;C024;C021,杨;Impey Barbicane;Allan Melville;Vilio,C025,平重衡,23,50.959093720821656,51.996152054155,12.0,88.46153846153847,3.6303678470426703,52.35,57.73,,23,17,23,0.0
aoko,aoko_set_06,mixed,Experiment A,C005;C014;C024;C021,杨;Impey Barbicane;Allan Melville;Vilio,C025,平重衡,23,52.48659372082166,53.318170804154995,12.0,88.46153846153847,2.9481922149725364,52.35,57.73,,23,17,23,0.0
aoko,aoko_set_06,mixed,Experiment B,C005;C014;C024;C021,杨;Impey Barbicane;Allan Melville;Vilio,C025,平重衡,17,53.27825230417771,54.23762941506436,36.0,65.38461538461539,3.442404489205984,52.35,57.73,,23,17,23,0.0
aoko,aoko_set_06,mixed,Experiment C,C005;C014;C024;C021,杨;Impey Barbicane;Allan Melville;Vilio,C025,平重衡,17,54.93275924893071,55.69876807728983,36.0,65.38461538461539,4.158000316495055,52.35,57.73,,23,17,23,0.0
